(-59.99841684350523, 0.006332625979081282, 0.0)
(-59.993667374020916, 0.025330503916325128, 0.0)
(-59.98575159154707, 0.056993633811731545, 0.0)
(-59.97466949608368, 0.10132201566530051, 0.0)
(-59.960421087630735, 0.15831564947703203, 0.0)
(-59.94300636618827, 0.22797453524692618, 0.0)
(-59.92242533175625, 0.3102986729749828, 0.0)
(-59.898677984334704, 0.40528806266120204, 0.0)
(-59.87176432392361, 0.5129427043055839, 0.0)
(-59.84168435052297, 0.6332625979081281, 0.0)
(-59.808438064132794, 0.7662477434688353, 0.0)
(-59.77202546475308, 0.9118981409877047, 0.0)
(-59.73244655238381, 1.070213790464737, 0.0)
(-59.68970132702501, 1.2411946918999313, 0.0)
(-59.64378978867668, 1.4248408452932881, 0.0)
(-59.5947119373388, 1.6211522506448082, 0.0)
(-59.542467773011374, 1.8301289079544907, 0.0)
(-59.48705729569441, 2.0517708172223355, 0.0)
(-59.42848050538791, 2.286077978448343, 0.0)
(-59.36673740209187, 2.5330503916325124, 0.0)
(-59.301827985806284, 2.792688056774844, 0.0)
(-59.23375225653117, 3.064990973875341, 0.0)
(-59.162510214266504, 3.3499591429339994, 0.0)
(-59.0881018590123, 3.647592563950819, 0.0)
(-59.01052719076855, 3.9578912369258004, 0.0)
(-58.92978620953526, 4.280855161858948, 0.0)
(-58.84587891531244, 4.616484338750254, 0.0)
(-58.75880530810007, 4.964778767599725, 0.0)
(-58.668565387898155, 5.325738448407359, 0.0)
(-58.57515915470672, 5.6993633811731526, 0.0)
(-58.47858660852572, 6.085653565897111, 0.0)
(-58.37884774935519, 6.484609002579233, 0.0)
(-58.275942577195124, 6.896229691219517, 0.0)
(-58.169871092045504, 7.320515631817963, 0.0)
(-58.06063329390636, 7.757466824374571, 0.0)
(-57.94822918277766, 8.207083268889342, 0.0)
(-57.83265875865943, 8.669364965362275, 0.0)
(-57.71392202155165, 9.144311913793372, 0.0)
(-57.592018971454344, 9.631924114182628, 0.0)
(-57.466949608367486, 10.13220156653005, 0.0)
(-57.33871393229109, 10.645144270835639, 0.0)
(-57.20731194322516, 11.170752227099376, 0.0)
(-57.07274364116967, 11.709025435321287, 0.0)
(-56.93500902612466, 12.259963895501365, 0.0)
(-56.794108098090106, 12.823567607639596, 0.0)
(-56.650040857066, 13.399836571735998, 0.0)
(-56.50280730305236, 13.988770787790557, 0.0)
(-56.35240743604918, 14.590370255803276, 0.0)
(-56.19884125605646, 15.204634975774155, 0.0)
(-56.042108763074204, 15.831564947703201, 0.0)
(-55.88220995710239, 16.47116017159042, 0.0)
